,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current description
290,290,Zdvinsk,54.7021,78.661,52.29,57,27,19.64,RU,2022-09-08 02:45:33,scattered clouds
291,291,Port Macquarie,-31.4333,152.9167,66.88,59,75,15.66,AU,2022-09-08 02:45:34,broken clouds
294,294,Zhigansk,66.7697,123.3711,50.16,57,41,5.66,RU,2022-09-08 02:45:35,scattered clouds
296,296,Rocha,-34.4833,-54.3333,56.23,93,0,4.94,UY,2022-09-08 02:45:36,clear sky
297,297,Vostok,46.4856,135.8833,69.1,48,4,11.65,RU,2022-09-08 02:45:37,clear sky
298,298,Ust-Kuyga,70.0167,135.6,46.42,70,100,13.89,RU,2022-09-08 02:45:38,overcast clouds
301,301,Manzhouli,49.6,117.4333,69.42,34,27,6.08,CN,2022-09-08 02:45:39,scattered clouds
302,302,Kodiak,57.79,-152.4072,53.11,94,100,16.11,US,2022-09-08 02:45:40,moderate rain
303,303,Paldiski,59.3567,24.0531,41.25,93,100,2.3,EE,2022-09-08 02:45:40,overcast clouds
305,305,Ler,8.3018,30.1418,69.6,96,75,1.34,SS,2022-09-08 02:45:41,moderate rain
306,306,Nezhinka,51.7676,55.3694,42.96,75,40,4.47,RU,2022-09-08 02:45:42,scattered clouds
307,307,Hualmay,-11.0964,-77.6139,59.65,84,46,12.86,PE,2022-09-08 02:45:42,scattered clouds
308,308,Bom Despacho,-19.7364,-45.2522,61.29,65,0,9.46,BR,2022-09-08 02:45:43,clear sky
312,312,Fort Nelson,58.8053,-122.7002,56.79,67,75,4.61,CA,2022-09-08 02:41:22,broken clouds
314,314,Saldanha,-33.0117,17.9442,50.05,90,0,17.36,ZA,2022-09-08 02:45:46,clear sky
315,315,Menongue,-14.6585,17.691,57.63,31,0,4.65,AO,2022-09-08 02:45:46,clear sky
316,316,Teya,60.3778,92.6267,45.05,89,85,17.18,RU,2022-09-08 02:45:47,light rain
319,319,Aklavik,68.2191,-135.0107,44.04,71,100,6.96,CA,2022-09-08 02:42:19,overcast clouds
321,321,Senanga,-16.1167,23.2667,59.74,47,0,5.93,ZM,2022-09-08 02:45:49,clear sky
322,322,Formosa,-26.1775,-58.1781,67.98,64,0,8.05,AR,2022-09-08 02:46:50,clear sky
323,323,Cuzaplac,46.9667,23.2,57.51,87,90,3.6,RO,2022-09-08 02:46:50,overcast clouds
326,326,Trujillo,-8.116,-79.03,60.76,88,100,8.05,PE,2022-09-08 02:44:54,fog
327,327,General Roca,-39.0333,-67.5833,48.61,33,95,19.1,AR,2022-09-08 02:46:52,overcast clouds
331,331,Canavieiras,-15.675,-38.9472,67.96,88,81,6.58,BR,2022-09-08 02:46:54,broken clouds
334,334,Madimba,-10.4,40.3333,68.49,90,7,8.19,TZ,2022-09-08 02:46:57,clear sky
335,335,Shelburne,44.0787,-80.2041,58.3,76,0,2.01,CA,2022-09-08 02:46:37,clear sky
337,337,Tocopilla,-22.092,-70.1979,57.79,65,26,3.67,CL,2022-09-08 02:46:58,scattered clouds
339,339,De Aar,-30.6497,24.0123,52.54,14,0,3.4,ZA,2022-09-08 02:46:59,clear sky
341,341,Westport,41.1415,-73.3579,69.84,83,100,10.36,US,2022-09-08 02:45:56,overcast clouds
342,342,Chicama,-7.8447,-79.1469,59.54,83,81,6.42,PE,2022-09-08 02:47:02,broken clouds
343,343,Tselinnoye,53.0833,85.6667,58.6,39,59,17.47,RU,2022-09-08 02:47:02,broken clouds
344,344,Vryburg,-26.9566,24.7284,54.84,71,0,9.75,ZA,2022-09-08 02:47:03,clear sky
347,347,Ampanihy,-24.7,44.75,65.77,79,93,11.52,MG,2022-09-08 02:47:05,overcast clouds
349,349,Seymchan,62.8833,152.4333,51.3,79,100,17.76,RU,2022-09-08 02:47:06,light rain
351,351,Montepuez,-13.1256,38.9997,62.6,66,0,5.84,MZ,2022-09-08 02:47:07,clear sky
352,352,Two Hills,53.7169,-111.7518,55.89,82,96,4.61,CA,2022-09-08 02:45:14,overcast clouds
354,354,Kardla,58.9978,22.7492,52.03,71,100,6.04,EE,2022-09-08 02:47:08,overcast clouds
355,355,Abha,18.2164,42.5053,66.02,27,0,5.75,SA,2022-09-08 02:44:53,clear sky
357,357,Nanyamba,-10.6833,39.8333,60.82,97,2,3.38,TZ,2022-09-08 02:47:10,clear sky
359,359,Saint-Pierre,-21.3393,55.4781,69.91,64,100,4.61,RE,2022-09-08 02:47:11,overcast clouds
373,373,Ahipara,-35.1667,173.1667,57.29,65,100,1.23,NZ,2022-09-08 02:48:21,overcast clouds
374,374,Bambous Virieux,-20.3428,57.7575,68.25,73,75,3.44,MU,2022-09-08 02:48:21,light rain
377,377,Balakhta,55.38,91.6,60.17,50,97,19.06,RU,2022-09-08 02:48:23,overcast clouds
378,378,Talant,47.3369,5.0089,61.14,88,0,5.75,FR,2022-09-08 02:48:24,clear sky
379,379,Lebu,-37.6167,-73.65,43.75,71,35,5.88,CL,2022-09-08 02:48:12,scattered clouds
380,380,Yantzaza,-3.8278,-78.7594,65.59,93,99,1.95,EC,2022-09-08 02:48:24,overcast clouds
381,381,Severo-Kurilsk,50.6789,156.125,56.14,95,100,11.97,RU,2022-09-08 02:48:25,overcast clouds
382,382,Villa Maria,-32.4075,-63.2402,61.83,44,0,11.39,AR,2022-09-08 02:48:26,clear sky
384,384,Valparaiso,-33.0393,-71.6273,53.47,94,100,4.61,CL,2022-09-08 02:47:05,overcast clouds
387,387,Hammerfest,70.6634,23.6821,46.85,100,75,17.27,NO,2022-09-08 02:48:29,broken clouds
390,390,Sept-Iles,50.2001,-66.3821,55.4,92,75,5.01,CA,2022-09-08 02:47:37,broken clouds
391,391,Leningradskiy,69.3833,178.4167,47.08,51,11,11.48,RU,2022-09-08 02:48:30,few clouds
393,393,Cap-Aux-Meules,47.3821,-61.8597,59.05,77,40,3.44,CA,2022-09-08 02:48:32,scattered clouds
395,395,Vestmanna,62.1564,-7.1664,54.52,88,100,10.36,FO,2022-09-08 02:48:33,light rain
399,399,Inyonga,-6.7167,32.0667,68.4,46,95,8.16,TZ,2022-09-08 02:48:35,overcast clouds
400,400,Hamilton,39.1834,-84.5333,67.57,86,0,0.0,US,2022-09-08 02:44:24,clear sky
401,401,Severnyy-Kospashskiy,59.0925,57.8008,40.86,98,100,3.29,RU,2022-09-08 02:48:35,overcast clouds
405,405,Bahia Blanca,-38.7196,-62.2724,46.2,79,100,10.18,AR,2022-09-08 02:49:38,overcast clouds
406,406,Kamenka,51.3223,42.7678,45.14,54,100,8.72,RU,2022-09-08 02:49:38,overcast clouds
409,409,Verkhoturye,58.8627,60.8054,44.01,92,88,5.82,RU,2022-09-08 02:49:40,overcast clouds
412,412,Pangnirtung,66.1451,-65.7125,46.99,62,100,10.27,CA,2022-09-08 02:47:43,overcast clouds
413,413,Chauny,49.6151,3.2186,56.86,97,66,9.73,FR,2022-09-08 02:49:41,broken clouds
414,414,Srednekolymsk,67.45,153.6833,58.8,50,100,17.45,RU,2022-09-08 02:49:42,overcast clouds
415,415,Bloemfontein,-29.1211,26.214,49.48,66,0,4.61,ZA,2022-09-08 02:49:42,clear sky
417,417,Indaparapeo,19.7833,-100.9667,63.28,82,100,4.61,MX,2022-09-08 02:49:44,light rain
419,419,Bilibino,68.0546,166.4372,56.03,36,45,5.37,RU,2022-09-08 02:49:45,scattered clouds
420,420,Ambovombe,-25.1667,46.0833,66.54,85,79,15.9,MG,2022-09-08 02:49:45,broken clouds
422,422,Aldan,58.6031,125.3894,41.63,85,99,14.63,RU,2022-09-08 02:49:46,light rain
423,423,Lac-Megantic,45.5834,-70.8823,56.55,91,0,2.28,CA,2022-09-08 02:49:47,clear sky
426,426,Sturgis,41.7992,-85.4192,65.86,88,0,0.0,US,2022-09-08 02:49:48,clear sky
427,427,San Juan,-31.5375,-68.5364,61.59,21,78,24.11,AR,2022-09-08 02:49:49,broken clouds
429,429,Neuquen,-38.9516,-68.0591,51.69,25,0,11.5,AR,2022-09-08 02:46:36,clear sky
434,434,Shira,54.4911,89.9531,57.15,48,71,24.52,RU,2022-09-08 02:49:52,broken clouds
441,441,Strezhevoy,60.7333,77.5889,43.56,90,100,15.55,RU,2022-09-08 02:49:55,light rain
443,443,Tymovskoye,50.8456,142.655,66.72,59,13,16.17,RU,2022-09-08 02:49:56,few clouds
445,445,Garden City,42.3256,-83.331,68.68,70,0,0.0,US,2022-09-08 02:45:21,clear sky
447,447,Konya,38.1667,32.5,53.08,58,0,0.51,TR,2022-09-08 02:49:57,clear sky
450,450,Havre-Saint-Pierre,50.2334,-63.5986,52.16,100,0,8.05,CA,2022-09-08 02:50:59,clear sky
452,452,Mbouda,5.6258,10.2552,62.24,96,99,4.29,CM,2022-09-08 02:51:00,overcast clouds
454,454,Kenai,60.5544,-151.2583,55.49,88,100,4.61,US,2022-09-08 02:51:01,light rain
459,459,Starokucherganovka,46.3248,47.9555,48.13,87,0,0.0,RU,2022-09-08 02:51:05,clear sky
460,460,Podgorenskiy,50.405,39.6429,45.55,59,98,7.25,RU,2022-09-08 02:51:05,overcast clouds
461,461,Husavik,66.0449,-17.3389,50.18,85,79,3.38,IS,2022-09-08 02:51:06,broken clouds
463,463,Inuvik,68.3499,-133.7218,47.16,70,75,6.91,CA,2022-09-08 02:51:07,broken clouds
465,465,Biryusinsk,55.9634,97.8235,69.55,50,100,16.53,RU,2022-09-08 02:51:08,overcast clouds
466,466,Kuopio,62.8924,27.677,40.95,87,100,5.75,FI,2022-09-08 02:51:09,overcast clouds
469,469,Bukachacha,52.9833,116.9167,60.17,34,66,4.72,RU,2022-09-08 02:51:12,broken clouds
