,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
296,Rocha,UY,56.23,clear sky,-34.4833,-54.3333,Hotel Trocadero
297,Vostok,RU,69.1,clear sky,46.4856,135.8833,Hotel MX congreso
298,Ust-Kuyga,RU,46.42,overcast clouds,70.0167,135.6,Hotel MX congreso
301,Manzhouli,CN,69.42,scattered clouds,49.6,117.4333,Ouya Hotel
302,Kodiak,US,53.11,moderate rain,57.79,-152.4072,Kodiak Compass Suites
303,Paldiski,EE,41.25,overcast clouds,59.3567,24.0531,Pakri Baron
305,Ler,SS,69.6,moderate rain,8.3018,30.1418,Leer Humanitarian Hub
306,Nezhinka,RU,42.96,scattered clouds,51.7676,55.3694,Park Hotel Nezhinka
307,Hualmay,PE,59.65,scattered clouds,-11.0964,-77.6139,Hotel California
308,Bom Despacho,BR,61.29,clear sky,-19.7364,-45.2522,Hotel JB
312,Fort Nelson,CA,56.79,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
314,Saldanha,ZA,50.05,clear sky,-33.0117,17.9442,Saldanha Bay Hotel
315,Menongue,AO,57.63,clear sky,-14.6585,17.691,Ritz Lauca
316,Teya,RU,45.05,light rain,60.3778,92.6267,Gostinyy Dvor Estel' Miniotel' V Severo-Yeniseyske
319,Aklavik,CA,44.04,overcast clouds,68.2191,-135.0107,Sundog Inn
321,Senanga,ZM,59.74,clear sky,-16.1167,23.2667,Zambia
322,Formosa,AR,67.98,clear sky,-26.1775,-58.1781,Hotel Nuevo Real
323,Cuzaplac,RO,57.51,overcast clouds,46.9667,23.2,Cabană Boby
326,Trujillo,PE,60.76,fog,-8.116,-79.03,"Hostal, El Emperador"
327,General Roca,AR,48.61,overcast clouds,-39.0333,-67.5833,Hotel Alamo Inn
331,Canavieiras,BR,67.96,broken clouds,-15.675,-38.9472,Bambusada Hotel
334,Madimba,TZ,68.49,clear sky,-10.4,40.3333,Luwa Evergreen Hotel
335,Shelburne,CA,58.3,clear sky,44.0787,-80.2041,Shelburne motel
337,Tocopilla,CL,57.79,scattered clouds,-22.092,-70.1979,Hotel Galvarino
339,De Aar,ZA,52.54,clear sky,-30.6497,24.0123,De Herberg Lodge
341,Westport,US,69.84,overcast clouds,41.1415,-73.3579,DoubleTree by Hilton Hotel Norwalk
342,Chicama,PE,59.54,broken clouds,-7.8447,-79.1469,Hacienda Solano
343,Tselinnoye,RU,58.6,broken clouds,53.0833,85.6667,Hotel Centralnaya
344,Vryburg,ZA,54.84,clear sky,-26.9566,24.7284,Poetry Guestrooms
347,Ampanihy,MG,65.77,overcast clouds,-24.7,44.75,HOTEL SHARRON AMPANIHY OUEST
349,Seymchan,RU,51.3,light rain,62.8833,152.4333,Khostel Shokoladka
351,Montepuez,MZ,62.6,clear sky,-13.1256,38.9997,RESIDÊNCIAL LANCHONETE
352,Two Hills,CA,55.89,overcast clouds,53.7169,-111.7518,Junction Inn
354,Kardla,EE,52.03,overcast clouds,58.9978,22.7492,Padu hotel
355,Abha,SA,66.02,clear sky,18.2164,42.5053,OYO 492 Rose Plaza For Housing Units
357,Nanyamba,TZ,60.82,clear sky,-10.6833,39.8333,Lasso View Hotel
359,Saint-Pierre,RE,69.91,overcast clouds,-21.3393,55.4781,Alize Plage
373,Ahipara,NZ,57.29,overcast clouds,-35.1667,173.1667,Waipapakauri Hotel
374,Bambous Virieux,MU,68.25,light rain,-20.3428,57.7575,Noeline
377,Balakhta,RU,60.17,overcast clouds,55.38,91.6,Bereg
378,Talant,FR,61.14,clear sky,47.3369,5.0089,Hôtel Montchapet
379,Lebu,CL,43.75,scattered clouds,-37.6167,-73.65,Hotel Plaza Lebu
380,Yantzaza,EC,65.59,overcast clouds,-3.8278,-78.7594,HOTEL DORADO ZUMBI
381,Severo-Kurilsk,RU,56.14,overcast clouds,50.6789,156.125,Hotel MX congreso
382,Villa Maria,AR,61.83,clear sky,-32.4075,-63.2402,Hotel Republica Villa Maria
384,Valparaiso,CL,53.47,overcast clouds,-33.0393,-71.6273,Hotel Valparaiso
387,Hammerfest,NO,46.85,broken clouds,70.6634,23.6821,Smarthotel Hammerfest
390,Sept-Iles,CA,55.4,broken clouds,50.2001,-66.3821,Hôtel Sept-Îles
391,Leningradskiy,RU,47.08,few clouds,69.3833,178.4167,Gostinitsa
393,Cap-Aux-Meules,CA,59.05,scattered clouds,47.3821,-61.8597,Auberge Du Village
395,Vestmanna,FO,54.52,light rain,62.1564,-7.1664,Á Giljanes Hostel & Campsite
399,Inyonga,TZ,68.4,overcast clouds,-6.7167,32.0667,Lusambo Anex
400,Hamilton,US,67.57,clear sky,39.1834,-84.5333,Central Inn & Suites
401,Severnyy-Kospashskiy,RU,40.86,overcast clouds,59.0925,57.8008,Gostinitsa Kizelovskaya
405,Bahia Blanca,AR,46.2,overcast clouds,-38.7196,-62.2724,Hotel
406,Kamenka,RU,45.14,overcast clouds,51.3223,42.7678,Гостиница на вокзале Балашов
409,Verkhoturye,RU,44.01,overcast clouds,58.8627,60.8054,"Gostinitsa ""Sobol'"""
412,Pangnirtung,CA,46.99,overcast clouds,66.1451,-65.7125,Auyuittuq Lodge (Inns North)
413,Chauny,FR,56.86,broken clouds,49.6151,3.2186,ibis budget Noyon
414,Srednekolymsk,RU,58.8,overcast clouds,67.45,153.6833,Hotel MX congreso
415,Bloemfontein,ZA,49.48,clear sky,-29.1211,26.214,Anta Boga HOTEL
417,Indaparapeo,MX,63.28,light rain,19.7833,-100.9667,Hotel Aeropuerto Morelia
419,Bilibino,RU,56.03,scattered clouds,68.0546,166.4372,Profilaktoriy Baes
420,Ambovombe,MG,66.54,broken clouds,-25.1667,46.0833,Hôtel Étoile du Sud
422,Aldan,RU,41.63,light rain,58.6031,125.3894,Welcome plaza Hotel
423,Lac-Megantic,CA,56.55,clear sky,45.5834,-70.8823,Microtel Inn & Suites by Wyndham Lac-Megantic
426,Sturgis,US,65.86,clear sky,41.7992,-85.4192,Travelodge by Wyndham Sturgis
427,San Juan,AR,61.59,broken clouds,-31.5375,-68.5364,Hotel América
429,Neuquen,AR,51.69,clear sky,-38.9516,-68.0591,Hotel del Comahue
434,Shira,RU,57.15,broken clouds,54.4911,89.9531,Begushchaya Po Volnam
441,Strezhevoy,RU,43.56,light rain,60.7333,77.5889,Gostinitsa Yunost'
443,Tymovskoye,RU,66.72,few clouds,50.8456,142.655,Otel' Gostinnyy Dvor
445,Garden City,US,68.68,clear sky,42.3256,-83.331,"Country Inn & Suites by Radisson, Dearborn, MI"
447,Konya,TR,53.08,clear sky,38.1667,32.5,Bahcesaray Koyu Muhtarligi
450,Havre-Saint-Pierre,CA,52.16,clear sky,50.2334,-63.5986,Hotel Du Havre
452,Mbouda,CM,62.24,overcast clouds,5.6258,10.2552,Lynda Hotel
454,Kenai,US,55.49,light rain,60.5544,-151.2583,Aspen Extended Stay Suites
459,Starokucherganovka,RU,48.13,clear sky,46.3248,47.9555,Center hotel
460,Podgorenskiy,RU,45.55,overcast clouds,50.405,39.6429,Gostinitsa Charodeyka
461,Husavik,IS,50.18,broken clouds,66.0449,-17.3389,Fosshotel Húsavík
463,Inuvik,CA,47.16,broken clouds,68.3499,-133.7218,Nova Inn Inuvik
465,Biryusinsk,RU,69.55,overcast clouds,55.9634,97.8235,Biryusa
466,Kuopio,FI,40.95,overcast clouds,62.8924,27.677,Original Sokos Hotel Puijonsarvi
469,Bukachacha,RU,60.17,broken clouds,52.9833,116.9167,"Gostinitsa ""Sever"""
472,Lavrentiya,RU,43.5,light rain,65.5833,-171.0,Hotel MX congreso
473,Ungheni,MD,57.85,clear sky,47.2042,27.7958,Hotel Arnia
474,Genhe,CN,62.46,clear sky,50.7833,121.5167,Lvdu Holiday Hotel
475,Khani,GE,45.97,clear sky,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
476,Santiago De Cao,PE,60.93,fog,-7.9589,-79.2392,Mochican Palace Hotel
477,Qaracala,AZ,67.66,overcast clouds,39.8132,48.9523,Qaraçala
481,Bertoua,CM,67.59,light rain,4.5833,13.6833,HOTEL UNIVERSEL BERTOUA
482,Bereda,ES,61.41,overcast clouds,43.2686,-7.5406,Casa Grande de Anllo
484,Abancay,PE,55.27,few clouds,-13.6339,-72.8814,Hotel Turistas de Abancay
487,Vesoul,FR,63.41,overcast clouds,47.5833,5.8333,Hotel Restaurant du Mouton Blanc
488,Zambezi,ZM,61.23,clear sky,-13.5432,23.1047,Royal Kutachika Lodge
489,Dnestrovsc,MD,59.09,broken clouds,46.6222,29.9133,Санаторий-профилакторий Санаторий
490,Mathathane,BW,54.36,clear sky,-22.2687,28.7495,Koro River Camp & Koro Island Camp
491,Berdigestyakh,RU,50.67,overcast clouds,62.0989,126.6992,Гостиница «Лена»
494,Alpena,US,67.06,clear sky,45.0617,-83.4327,"Holiday Inn Express & Suites Alpena - Downtown, an IHG Hotel"
496,Ust-Nera,RU,47.68,overcast clouds,64.5667,143.2,Hotel Ust-Nera
497,George,ZA,53.29,clear sky,-33.963,22.4617,Antiqua Guest House
498,Primorsk,UA,50.43,clear sky,46.7348,36.3443,Berizka
501,Bundibugyo,UG,65.93,overcast clouds,0.7414,30.0417,MURAMIA MOTEL
503,Northam,GB,59.4,light rain,51.0333,-4.2167,Premier Inn Bideford Hotel
507,Caohai,CN,66.29,clear sky,26.8661,104.2841,Yibo esports hotel
508,Ondarroa,ES,61.79,overcast clouds,43.3167,-2.4167,Hostal Rin
511,Kidodi,TZ,68.13,broken clouds,-7.6036,37.0044,Mikumi Safari Lodge
