City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current description
85,Chuy,-33.6971,-53.4616,56.19,53,2,6.11,UY,2022-09-11 18:01:53,clear sky
86,Westlock,54.1502,-113.8688,69.12,33,0,0.43,CA,2022-09-11 18:01:02,clear sky
87,Ambilobe,-13.2,49.05,72.07,69,86,5.5,MG,2022-09-11 18:01:54,overcast clouds
88,Tasiilaq,65.6145,-37.6368,41.16,74,98,6.64,GL,2022-09-11 18:02:55,overcast clouds
89,Saint-Pierre,-21.3393,55.4781,74.57,73,0,6.91,RE,2022-09-11 18:02:55,clear sky
90,Lakes Entrance,-37.8811,147.981,50.16,87,96,14.52,AU,2022-09-11 18:02:55,overcast clouds
91,Severo-Kurilsk,50.6789,156.125,52.97,92,13,13.33,RU,2022-09-11 18:02:56,few clouds
92,Nikolskoye,59.7035,30.7861,51.69,72,63,4.25,RU,2022-09-11 18:02:56,broken clouds
93,Karatsu,33.4425,129.9697,78.69,61,100,4.47,JP,2022-09-11 18:02:56,overcast clouds
94,Ambon,-3.6954,128.1814,77.23,15,40,6.91,ID,2022-09-11 18:02:57,scattered clouds
95,Mar Del Plata,-38.0023,-57.5575,58.95,72,0,13.0,AR,2022-09-11 18:02:57,clear sky
96,Avera,33.194,-82.5271,83.55,61,87,6.04,US,2022-09-11 18:02:58,overcast clouds
97,Thompson,55.7435,-97.8558,68.38,40,39,10.38,CA,2022-09-11 18:00:37,scattered clouds
98,Kudahuvadhoo,2.6708,72.8944,81.99,78,57,13.2,MV,2022-09-11 18:02:58,broken clouds
99,Tulun,54.5611,100.5792,47.26,90,98,5.21,RU,2022-09-11 18:02:59,overcast clouds
100,Tazmalt,36.3868,4.3989,89.37,24,16,6.89,DZ,2022-09-11 18:02:59,few clouds
101,Svetlyy,54.675,20.1347,55.45,65,92,11.01,RU,2022-09-11 18:02:59,overcast clouds
102,Araguacu,-12.9306,-49.8264,101.91,12,50,5.46,BR,2022-09-11 18:03:00,scattered clouds
103,Minamiashigara,35.3193,139.099,76.46,86,42,6.89,JP,2022-09-11 18:03:00,scattered clouds
104,Hermanus,-34.4187,19.2345,50.81,63,91,11.7,ZA,2022-09-11 18:03:01,overcast clouds
105,Mahebourg,-20.4081,57.7,71.89,73,75,8.05,MU,2022-09-11 18:03:01,broken clouds
106,Richards Bay,-28.783,32.0377,68.99,86,63,11.65,ZA,2022-09-11 18:03:01,broken clouds
107,Astoria,46.1879,-123.8313,67.55,83,75,6.91,US,2022-09-11 18:03:02,haze
108,Longyearbyen,78.2186,15.6401,35.44,87,75,16.11,SJ,2022-09-11 18:03:02,light rain
109,Pevek,69.7008,170.3133,39.67,73,12,6.96,RU,2022-09-11 18:03:03,few clouds
110,Evans,33.5337,-82.1307,85.5,62,20,5.75,US,2022-09-11 18:03:03,few clouds
111,Port Elizabeth,-33.918,25.5701,59.09,81,100,5.99,ZA,2022-09-11 18:03:04,overcast clouds
112,Marzuq,14.4,46.4667,81.59,54,85,6.85,YE,2022-09-11 18:03:04,overcast clouds
113,Bratsk,56.1325,101.6142,43.29,88,94,3.67,RU,2022-09-11 18:03:05,overcast clouds
114,Alofi,-19.0595,-169.9187,76.03,80,93,14.16,NU,2022-09-11 18:03:05,overcast clouds
115,Saskylakh,71.9167,114.0833,33.55,87,99,6.22,RU,2022-09-11 18:03:06,overcast clouds
116,Puerto Ayora,-0.7393,-90.3518,69.55,84,77,5.99,EC,2022-09-11 18:03:07,broken clouds
